ultrasonico,fotorresistencia,color1,color2,color3,ambiente
271,134,492,372,446,uno
323,230,765,498,503,uno
423,274,744,501,486,uno
317,276,343,325,412,uno
241,137,483,371,422,uno
273,137,581,457,460,uno
275,134,658,498,521,uno
280,149,567,413,462,uno
353,303,741,488,500,uno
292,217,779,505,500,uno
267,172,245,279,374,uno
271,112,486,362,420,uno
272,120,267,292,380,uno
276,141,467,413,461,uno
323,239,770,504,486,uno
243,136,440,398,434,uno
265,113,420,320,389,uno
277,141,460,394,450,uno
301,127,761,501,498,uno
269,154,238,269,369,uno
307,163,241,299,450,uno
277,145,487,369,439,uno
274,139,717,499,503,uno
267,125,628,498,504,uno
269,125,460,381,389,uno
296,238,258,288,427,uno
351,293,693,469,491,uno
343,145,753,509,496,uno
278,140,327,299,373,uno
274,125,436,388,425,uno
241,133,483,277,374,uno
298,117,563,451,477,uno
271,131,279,301,395,uno
278,163,493,370,436,uno
353,147,777,514,508,uno
334,110,1165,867,467,dos
328,174,1078,888,501,dos
320,217,1061,871,487,dos
358,113,1060,753,451,dos
378,308,1047,843,456,dos
341,156,1075,803,432,dos
370,103,1083,870,486,dos
347,108,766,675,428,dos
355,121,1022,652,363,dos
349,132,1133,844,382,dos
329,105,1135,846,462,dos
349,281,1068,861,483,dos
385,299,1156,842,452,dos
369,317,927,655,383,dos
345,121,1115,850,465,dos
364,98,1105,855,466,dos
340,101,845,678,408,dos
337,102,822,654,386,dos
330,109,1060,700,463,dos
345,278,1051,864,484,dos
404,308,1046,850,449,dos
410,319,1134,697,373,dos
348,127,1132,861,476,dos
333,96,1134,675,348,dos
360,110,904,601,345,dos
360,101,1172,864,461,dos
454,105,1181,875,486,dos
351,160,1013,802,472,dos
350,110,1121,799,382,dos
329,107,984,701,380,dos
339,108,998,689,377,dos
365,100,1116,926,522,dos
395,107,1194,870,481,dos
429,125,1145,887,483,dos
364,118,960,653,359,dos
508,141,690,1060,810,tres
509,141,692,1061,804,tres
472,141,698,1056,768,tres
467,146,597,946,743,tres
525,280,887,1318,919,tres
504,294,730,1200,850,tres
525,373,658,941,738,tres
527,369,719,1100,815,tres
527,135,728,1088,809,tres
460,139,813,1318,914,tres
474,273,949,1334,923,tres
469,328,736,1256,902,tres
507,318,761,1352,931,tres
472,141,791,1303,870,tres
494,145,600,959,757,tres
472,127,680,1027,794,tres
478,123,786,1072,815,tres
504,326,834,1367,927,tres
487,344,836,1381,930,tres
521,382,558,841,673,tres
557,380,624,1035,799,tres
504,370,772,1259,894,tres
535,127,806,1040,774,tres
487,134,630,1007,787,tres
549,126,687,1047,800,tres
606,146,851,1100,837,tres
463,365,797,1330,937,tres
488,377,684,1139,845,tres
495,127,866,1216,779,tres
506,113,836,1104,830,tres
572,372,680,985,758,tres
520,131,735,1040,784,tres
492,137,657,1006,765,tres
514,136,674,1078,870,tres
472,147,595,942,749,tres
